lat_ctr,lng_ctr,lat_pt,lng_pt,StopName
48.87934,24.596367,48.87934,24.596367,на вимогу
48.860902,24.547273,48.860902,24.547273,"СТ ""Біонік"""
48.879406,24.596876,48.879406,24.596876,на вимогу
48.890154,24.616832,48.890154,24.616832,на вимогу
48.920167,24.704362,48.920167,24.704362,вулиця Січових стрільців
49.020568,24.691531,49.020568,24.691531,на вимогу
49.028746,24.687864,49.028746,24.687864,на вимогу
49.043163,24.682118,49.043163,24.682118,село Тязів
49.028797,24.687729,49.028797,24.687729,на вимогу
49.02053,24.691345,49.02053,24.691345,на вимогу
